dx,TERM,CHAPTER,BLOCK
M6099,"Myositis, unspecified: site unspecified",Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders
M729,"Fibroblastic disorder, unspecified",Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders
N019,Rapidly progressive nephritis syndrome: unspecified,Diseases of the genitourinary system,Glomerular diseases
N049,Nephrotic syndrome: unspecified,Diseases of the genitourinary system,Glomerular diseases
N085,Glomerular disorders in systemic connective tissue disorders,Diseases of the genitourinary system,Glomerular diseases
N170,Acute renal failure with tubular necrosis,Diseases of the genitourinary system,Renal failure
N19,Unspecified kidney failure,Diseases of the genitourinary system,Renal failure
R18,Ascites,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the digestive system and abdomen
R190,"Intra-abdominal and pelvic swelling, mass and lump","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the digestive system and abdomen
R222,"Localized swelling, mass and lump, trunk","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the skin and subcutaneous tissue
R36,Urethral discharge,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the urinary system
R509,"Fever, unspecified","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs
R579,"Shock, unspecified","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs
F03,Unspecified dementia,Mental and behavioural disorders,"Organic, including symptomatic, mental disorders"
G309,"Alzheimer's disease, unspecified",Diseases of the nervous system,Other degenerative diseases of the nervous system
J304,"Allergic rhinitis, unspecified",Diseases of the respiratory system,Other diseases of upper respiratory tract
N182,"Chronic kidney disease, stage 2",Diseases of the genitourinary system,Renal failure
C220,Liver cell carcinoma,Neoplasms,Malignant neoplasms
J440,Chronic obstructive pulmonary disease with acute lower respiratory infection,Diseases of the respiratory system,Chronic lower respiratory diseases
K720,Acute and subacute hepatic failure,Diseases of the digestive system,Diseases of liver
N643,Galactorrhoea not associated with childbirth,Diseases of the genitourinary system,Disorders of breast
R571,Hypovolaemic shock,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs
D619,"Aplastic anaemia, unspecified",Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Aplastic and other anaemias
D731,Hypersplenism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
K746,Other and unspecified cirrhosis of liver,Diseases of the digestive system,Diseases of liver
R770,Abnormality of albumin,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Abnormal findings on examination of blood, without diagnosis"
N009,Acute nephritic syndrome: unspecified,Diseases of the genitourinary system,Glomerular diseases
M1006,Idiopathic gout: lower leg,Diseases of the musculoskeletal system and connective tissue,Arthropathies
M189,"Arthrosis of first carpometacarpal joint, unspecified",Diseases of the musculoskeletal system and connective tissue,Arthropathies
A150,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",Certain infectious and parasitic diseases,Tuberculosis
A415,Sepsis due to other gram-negative organisms,Certain infectious and parasitic diseases,Other bacterial diseases
B961,Klebsiella pneumoniae [K.pneumoniae] as the cause of diseases classified to other chapters,Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents"
D62,Acute posthaemorrhagic anaemia,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Aplastic and other anaemias
E02,Subclinical iodine-deficiency hypothyroidism,"Endocrine, nutritional and metabolic diseases",Disorders of thyroid gland
F059,"Delirium, unspecified",Mental and behavioural disorders,"Organic, including symptomatic, mental disorders"
G20,Parkinson's disease,Diseases of the nervous system,Extrapyramidal and movement disorders
I451,Other and unspecified right bundle-branch block,Diseases of the circulatory system,Other forms of heart disease
J155,Pneumonia due to Escherichia coli,Diseases of the respiratory system,Influenza and pneumonia
J181,"Lobar pneumonia, unspecified",Diseases of the respiratory system,Influenza and pneumonia
J984,Other disorders of lung,Diseases of the respiratory system,Other diseases of the respiratory system
K573,Diverticular disease of large intestine without perforation or abscess,Diseases of the digestive system,Other diseases of intestines
K750,Abscess of liver,Diseases of the digestive system,Diseases of liver
K754,Autoimmune hepatitis,Diseases of the digestive system,Diseases of liver
K819,"Cholecystitis, unspecified",Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas"
M4696,"Inflammatory spondylopathy, unspecified: Lumbar region",Diseases of the musculoskeletal system and connective tissue,Dorsopathies
R392,Extrarenal uraemia,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the urinary system
A418,Other specified sepsis,Certain infectious and parasitic diseases,Other bacterial diseases
J150,Pneumonia due to Klebsiella pneumoniae,Diseases of the respiratory system,Influenza and pneumonia
J159,"Bacterial pneumonia, unspecified",Diseases of the respiratory system,Influenza and pneumonia
R090,Asphyxia,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the circulatory and respiratory systems
K769,"Liver disease, unspecified",Diseases of the digestive system,Diseases of liver
A020,Salmonella enteritis,Certain infectious and parasitic diseases,Intestinal Infectious Diseases
A162,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",Certain infectious and parasitic diseases,Tuberculosis
C029,"Malignant neoplasm of other and unspecified parts of tongue, unspecified",Neoplasms,Malignant neoplasms
C166,"Malignant neoplasm of stomach, greater curvature of stomach, unspecified",Neoplasms,Malignant neoplasms
D500,Iron deficiency anaemia secondary to blood loss (chronic),Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Nutritional anaemias
D599,"Acquired haemolytic anaemia, unspecified",Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Haemolytic anaemias
E041,Nontoxic single thyroid nodule,"Endocrine, nutritional and metabolic diseases",Disorders of thyroid gland
E111,"Type 2 diabetes mellitus, with ketoacidosis","Endocrine, nutritional and metabolic diseases",Diabetes mellitus
E781,Pure hyperglyceridaemia,"Endocrine, nutritional and metabolic diseases",Metabolic disorders
E790,Hyperuricaemia without signs of inflammatory arthritis and tophaceous disease,"Endocrine, nutritional and metabolic diseases",Metabolic disorders
F171,Mental and behavioral disorders due to use of tobacco: Harmful use,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use
F172,Mental and behavioral disorders due to use of tobacco: Dependence sydrome,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use
G253,Myoclonus,Diseases of the nervous system,Extrapyramidal and movement disorders
G723,Periodic paralysis,Diseases of the nervous system,Diseases of myoneural junction and muscle
G931,"Anoxic brain damage, not elsewhere classified",Diseases of the nervous system,Other disorders of the nervous system
I232,Ventricular septal defect as current complication following acute myocardial infarction,Diseases of the circulatory system,Ischaemic heart diseases
I99,Other and unspecified disorders of circulatory system,Diseases of the circulatory system,Other and unspecified disorders of the circulatory system
J029,"Acute pharyngitis, unspecified",Diseases of the respiratory system,Acute upper respiratory infections
J154,Pneumonia due to other streptococci,Diseases of the respiratory system,Influenza and pneumonia
K297,"Gastritis, unspecified",Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K631,Perforation of intestine (nontraumatic),Diseases of the digestive system,Other diseases of intestines
K633,Ulcer of intestine,Diseases of the digestive system,Other diseases of intestines
K763,Infarction of liver,Diseases of the digestive system,Diseases of liver
M1009,Idiopathic gout: site unspecified,Diseases of the musculoskeletal system and connective tissue,Arthropathies
M1399,"Arthritis, unspecified: site unspecified",Diseases of the musculoskeletal system and connective tissue,Arthropathies
M171,Other primary gonarthrosis,Diseases of the musculoskeletal system and connective tissue,Arthropathies
M6288,Other specified disorders of muscle: other,Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders
M750,Adhesive capsulitis of shoulder,Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders
N141,"Nephropathy induced by other drugs, medicaments and biological substances",Diseases of the genitourinary system,Renal tubulo-interstitial diseases
N200,Calculus of kidney,Diseases of the genitourinary system,Urolithiasis
N309,"Cystitis, unspecified",Diseases of the genitourinary system,Other diseases of urinary system
N485,Ulcer of penis,Diseases of the genitourinary system,Diseases of male genital organs
N832,Other and unspecified ovarian cysts,Diseases of the genitourinary system,Noninflammatory disorders of female genital tract
N920,Excessive and frequent menstruation with regular cycle,Diseases of the genitourinary system,Noninflammatory disorders of female genital tract
Q210,Ventricular septal defect,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the circulatory system
R33,Retention of urine,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the urinary system
R35,Polyuria,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the urinary system
R51,Headache,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs
R945,Abnormal results of liver function studies,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Abnormal findings on diagnostic imaging and in function studies, without diagnosis"
A099,Gastroenteritis and colitis of unspecified origin,Certain infectious and parasitic diseases,Intestinal Infectious Diseases
B181,Chronic viral hepatitis B without delta-agent,Certain infectious and parasitic diseases,Viral hepatitis
D469,"Myelodysplastic syndrome, unspecified",Neoplasms,Neoplasms of uncertain or unknown behaviour
E110,"Type 2 diabetes mellitus, with coma","Endocrine, nutritional and metabolic diseases",Diabetes mellitus
F419,"Anxiety disorder, unspecified",Mental and behavioural disorders,"Neurotic, stress-related and somatoform disorders"
H811,Benign paroxysmal vertigo,Diseases of the ear and mastoid process,Diseases of inner ear
I461,"Sudden cardiac death, so described",Diseases of the circulatory system,Other forms of heart disease
K659,"Peritonitis, unspecified",Diseases of the digestive system,Diseases of peritoneum
K759,"Inflammatory liver disease, unspecified",Diseases of the digestive system,Diseases of liver
K760,"Fatty (change of) liver, not elsewhere classified",Diseases of the digestive system,Diseases of liver
K761,Chronic passive congestion of liver,Diseases of the digestive system,Diseases of liver
L409,"Psoriasis, unspecified",Diseases of the skin and subcutaneous tissue,Papulosquamous disorders
M4809,Spinal stenosis: Site unspecified,Diseases of the musculoskeletal system and connective tissue,Dorsopathies
M6282,Other specified disorders of muscle: upper arm,Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders
R042,Haemoptysis,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the circulatory and respiratory systems
R568,Other and unspecified convulsions,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs
T801,"Vascular complications following infusion, transfusion and therapeutic injection","Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care, not elsewhere classified"
T802,"Infections following infusion, transfusion and therapeutic injection","Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care, not elsewhere classified"
T823,Mechanical complication of other vascular grafts,"Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care, not elsewhere classified"
N202,Calculus of kidney with calculus of ureter,Diseases of the genitourinary system,Urolithiasis
C349,"Malignant neoplasm of bronchus or lung, unspecified",Neoplasms,Malignant neoplasms
C541,Malignant neoplasm of endometrium,Neoplasms,Malignant neoplasms
C56,Malignant neoplasm of ovary,Neoplasms,Malignant neoplasms
C780,Secondary malignant neoplasm of lung,Neoplasms,Malignant neoplasms
C797,Secondary malignant neoplasm of adrenal gland,Neoplasms,Malignant neoplasms
E115,"Type 2 diabetes mellitus, with peripherl circulatory complications","Endocrine, nutritional and metabolic diseases",Diabetes mellitus
E230,Hypopituitarism,"Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands
E870,Hyperosmolality and hypernatraemia,"Endocrine, nutritional and metabolic diseases",Metabolic disorders
F104,Mental and behavioral disorders due to use of alcohol: Withdrawal state with delirium,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use
F200,Paranoid schizophrenia,Mental and behavioural disorders,"Schizophrenia, schizotypal and delusional disorders"
G403,Generalized idiopathic epilepsy and epileptic syndromes,Diseases of the nervous system,Episodic and paroxysmal disorders
G419,"Status epilepticus, unspecified",Diseases of the nervous system,Episodic and paroxysmal disorders
G822,"Paraplegia, unspecified",Diseases of the nervous system,Cerebral palsy and other paralytic syndromes
G934,"Encephalopathy, unspecified",Diseases of the nervous system,Other disorders of the nervous system
G952,"Cord compression, unspecified",Diseases of the nervous system,Other disorders of the nervous system
I259,"Chronic ischaemic heart disease, unspecified",Diseases of the circulatory system,Ischaemic heart diseases
J00,Acute nasopharyngitis [common cold],Diseases of the respiratory system,Acute upper respiratory infections
J100,"Influenza with pneumonia, other influenza virus identified",Diseases of the respiratory system,Influenza and pneumonia
J108,"Influenza with other manifestations, other influenza virus identified",Diseases of the respiratory system,Influenza and pneumonia
J129,"Viral pneumonia, unspecified",Diseases of the respiratory system,Influenza and pneumonia
J690,Pneumonitis due to food and vomit,Diseases of the respiratory system,Lung diseases due to external agents
J80,Adult respiratory distress syndrome,Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium
K221,Ulcer of oesophagus,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K259,"Gastric ulcer: unspecified as acute or chronic, without haemorrhage or perforation",Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K290,Acute haemorrhagic gastritis,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K625,Haemorrhage of anus and rectum,Diseases of the digestive system,Other diseases of intestines
K635,Polyp of colon,Diseases of the digestive system,Other diseases of intestines
L030,Cellulitis of finger and toe,Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue
L97,"Ulcer of lower limb, not elsewhere classified",Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
M1000,Idiopathic gout: multiple sites,Diseases of the musculoskeletal system and connective tissue,Arthropathies
M1007,Idiopathic gout: ankle and foot,Diseases of the musculoskeletal system and connective tissue,Arthropathies
M329,"Systemic lupus erythematosus, unspecified",Diseases of the musculoskeletal system and connective tissue,Systemic connective tissue disorders
M4788,Other spondylosis: Sacral and sacrococcygeal region,Diseases of the musculoskeletal system and connective tissue,Dorsopathies
M6289,Other specified disorders of muscle: site unspecified,Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders
M9408,Chondrocostal junction syndrome [Tietze]: other,Diseases of the musculoskeletal system and connective tissue,Osteopathies and chondropathies
M9488,Other specified disorders of cartilage: other,Diseases of the musculoskeletal system and connective tissue,Osteopathies and chondropathies
N059,Nephritic syndrome: unspecified,Diseases of the genitourinary system,Glomerular diseases
N142,"Nephropathy induced by unspecified drug, medicament or biological substance",Diseases of the genitourinary system,Renal tubulo-interstitial diseases
R05,Cough,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the circulatory and respiratory systems
R062,Wheezing,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the circulatory and respiratory systems
R409,"Alteration of consciousness, unspecified","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Symptoms and signs involving cognition, perception, emotional state and behaviour"
R633,Feeding difficulties and mismanagement,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs
R936,Abnormal findings on diagnostic imaging of limbs,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Abnormal findings on diagnostic imaging and in function studies, without diagnosis"
T827,"Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts","Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care, not elsewhere classified"
A047,Enterocolitis due to Clostridium difficile,Certain infectious and parasitic diseases,Intestinal Infectious Diseases
A073,Isosporiasis,Certain infectious and parasitic diseases,Intestinal Infectious Diseases
A180,Tuberculosis of bones and joints,Certain infectious and parasitic diseases,Tuberculosis
A403,Sepsis due to Streptococcus pneumoniae,Certain infectious and parasitic diseases,Other bacterial diseases
B200,HIV disease resulting in mycobacterial infection,Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease
B309,"Viral conjunctivitis, unspecified",Certain infectious and parasitic diseases,Other viral diseases
B349,"Viral infection, unspecified",Certain infectious and parasitic diseases,Other viral diseases
B377,Candidal sepsis,Certain infectious and parasitic diseases,Mycoses
B440,Invasive pulmonary aspergillosis,Certain infectious and parasitic diseases,Mycoses
B952,"Streptococcus, group D, as the cause of diseases classified to other chapters",Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents"
B964,Proteus (mirabilis)(morganii) as the cause of diseases classified to other chapters,Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents"
B968,Other specified bacterial agents as the cause of diseases classified to other chapters,Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents"
C184,"Malignant neoplasm of colon, transverse colon",Neoplasms,Malignant neoplasms
C539,"Malignant neoplasm of cervix uteri, unspecified",Neoplasms,Malignant neoplasms
C680,Malignant neoplasm of urethra,Neoplasms,Malignant neoplasms
C760,"Malignant neoplasm of head, face and neck",Neoplasms,Malignant neoplasms
C779,"Malignant neoplasm of lymph node, unspecified",Neoplasms,Malignant neoplasms
C795,Secondary malignant neoplasm of bone and bone marrow,Neoplasms,Malignant neoplasms
C798,Secondary malignant neoplasm of other specified sites,Neoplasms,Malignant neoplasms
C900,Multiple myeloma,Neoplasms,Malignant neoplasms
C911,Chronic lymphocytic leukaemia of B-cell type,Neoplasms,Malignant neoplasms
C921,"Chronic myeloid leukaemia [CML], bCR/ABL-positive",Neoplasms,Malignant neoplasms
D259,"Leiomyoma of uterus, unspecified",Neoplasms,Benign neoplasms
D27,Benign neoplasm of ovary,Neoplasms,Benign neoplasms
D320,Benign neoplasm of cerebral meninges,Neoplasms,Benign neoplasms
D550,Anaemia due to glucose-6-phosphate dehydrogenase [G-6-PD] deficiency,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Haemolytic anaemias
D559,"Anaemia due to enzyme disorder, unspecified",Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Haemolytic anaemias
D563,Thalassaemia trait,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Haemolytic anaemias
D591,Other autoimmune haemolytic anaemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Haemolytic anaemias
D630,Anaemia in neoplastic disease (C00-D48+),Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Aplastic and other anaemias
D686,Other Thrombophilia,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Coagulation defects, purpura and other haemorrhagic conditions"
D693,Idiopathic thrombocytopenic purpura,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Coagulation defects, purpura and other haemorrhagic conditions"
D70,Agranulocytosis,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
D728,Other specified disorders of white blood cells,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
D733,Abscess of spleen,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
D749,"Methaemoglobinaemia, unspecified",Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
D758,Other specified diseases of blood and blood-forming organs,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
E050,Thyrotoxicosis with diffuse goitre,"Endocrine, nutritional and metabolic diseases",Disorders of thyroid gland
E109,"Type 1 diabetes mellitus, without complications","Endocrine, nutritional and metabolic diseases",Diabetes mellitus
E214,Other specified disorders of parathyroid gland,"Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands
E232,Diabetes insipidus,"Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands
E43,Unspecified severe protein-energy malnutrition,"Endocrine, nutritional and metabolic diseases",Malnutrition
E561,Deficiency of vitamin K,"Endocrine, nutritional and metabolic diseases",Other nutritional deficiencies
E720,Disorders of amino-acid transport,"Endocrine, nutritional and metabolic diseases",Metabolic disorders
E880,"Disorders of plasma-protein metabolism, not elsewhere classified","Endocrine, nutritional and metabolic diseases",Metabolic disorders
F019,"Vascular dementia, unspecified",Mental and behavioural disorders,"Organic, including symptomatic, mental disorders"
F058,Other delirium,Mental and behavioural disorders,"Organic, including symptomatic, mental disorders"
F102,Mental and behavioral disorders due to use of alcohol: Dependence sydrome,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use
F29,Unspecified nonorganic psychosis,Mental and behavioural disorders,"Schizophrenia, schizotypal and delusional disorders"
F319,"Bipolar affective disorder, unspecified",Mental and behavioural disorders,Mood [affective] disorders
F322,Severe depressive episode without psychotic symptoms,Mental and behavioural disorders,Mood [affective] disorders
F411,Generalized anxiety disorder,Mental and behavioural disorders,"Neurotic, stress-related and somatoform disorders"
G405,Special epileptic syndromes,Diseases of the nervous system,Episodic and paroxysmal disorders
G409,"Epilepsy, unspecified",Diseases of the nervous system,Episodic and paroxysmal disorders
G700,Myasthenia gravis,Diseases of the nervous system,Diseases of myoneural junction and muscle
G722,Myopathy due to other toxic agents,Diseases of the nervous system,Diseases of myoneural junction and muscle
G728,Other specified myopathies,Diseases of the nervous system,Diseases of myoneural junction and muscle
G908,Other disorders of the autonomic nervous system,Diseases of the nervous system,Other disorders of the nervous system
H110,Pterygium,Diseases of the eye and adnexa,Disorders of conjunctiva
H131,Conjunctivitis in infectious and parasitic diseases classified elsewhere,Diseases of the eye and adnexa,Disorders of conjunctiva
H3600,Nonproliferative diabetic retinopathy (NPDR),Diseases of the eye and adnexa,Disorders of choroid and retina
H3609,"Diabetic retinopathy, unspecified",Diseases of the eye and adnexa,Disorders of choroid and retina
H46,Optic neuritis,Diseases of the eye and adnexa,Disorders of optic nerve and visual pathways
I080,Disorders of both mitral and aortic valves,Diseases of the circulatory system,Chronic rheumatic heart diseases
I120,Hypertensive renal disease with renal failure,Diseases of the circulatory system,Hypertensive diseases
I238,Other current complications following acute myocardial infarction,Diseases of the circulatory system,Ischaemic heart diseases
I253,Aneurysm of heart,Diseases of the circulatory system,Ischaemic heart diseases
I258,Other forms of chronic ischaemic heart disease,Diseases of the circulatory system,Ischaemic heart diseases
J151,Pneumonia due to Pseudomonas,Diseases of the respiratory system,Influenza and pneumonia
J152,Pneumonia due to Staphylococcus,Diseases of the respiratory system,Influenza and pneumonia
J172,Pneumonia in mycoses classified elsewhere,Diseases of the respiratory system,Influenza and pneumonia
J180,"Bronchopneumonia, unspecified",Diseases of the respiratory system,Influenza and pneumonia
J208,Acute bronchitis due to other specified organisms,Diseases of the respiratory system,Other acute lower respiratory infections
J323,Chronic sphenoidal sinusitis,Diseases of the respiratory system,Other diseases of upper respiratory tract
J329,"Chronic sinusitis, unspecified",Diseases of the respiratory system,Other diseases of upper respiratory tract
J342,Deviated nasal septum,Diseases of the respiratory system,Other diseases of upper respiratory tract
J46,Status asthmaticus,Diseases of the respiratory system,Chronic lower respiratory diseases
J47,Bronchiectasis,Diseases of the respiratory system,Chronic lower respiratory diseases
J869,Pyothorax without fistula,Diseases of the respiratory system,Suppurative and necrotic conditions of lower respiratory tract
J948,Other specified pleural conditions,Diseases of the respiratory system,Other diseases of pleura
J951,Acute pulmonary insufficiency following thoracic surgery,Diseases of the respiratory system,Other diseases of the respiratory system
J952,Acute pulmonary insufficiency following nonthoracic surgery,Diseases of the respiratory system,Other diseases of the respiratory system
J955,Postprocedural subglottic stenosis,Diseases of the respiratory system,Other diseases of the respiratory system
K053,Chronic periodontitis,Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws"
K118,Other diseases of salivary glands,Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws"
K20,Oesophagitis,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K210,Gastro-oesophageal reflux disease with oesophagitis,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K226,Gastro-oesophageal laceration-haemorrhage syndrome,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K254,Gastric ulcer: chronic or unspecified with haemorrhage,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K295,"Chronic gastritis, unspecified",Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K298,Duodenitis,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K299,"Gastroduodenitis, unspecified",Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K317,Polyp of stomach and duodenum,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K318,Other specified diseases of stomach and duodenum,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K564,Other impaction of intestine,Diseases of the digestive system,Other diseases of intestines
K566,Other and unspecified intestinal obstruction,Diseases of the digestive system,Other diseases of intestines
K567,"Ileus, unspecified",Diseases of the digestive system,Other diseases of intestines
K579,"Diverticular disease of intestine, part unspecified, without perforation or abscess",Diseases of the digestive system,Other diseases of intestines
K590,Constipation,Diseases of the digestive system,Other diseases of intestines
K601,Chronic anal fissure,Diseases of the digestive system,Other diseases of intestines
K626,Ulcer of anus and rectum,Diseases of the digestive system,Other diseases of intestines
K632,Fistula of intestine,Diseases of the digestive system,Other diseases of intestines
K638,Other specified diseases of intestine,Diseases of the digestive system,Other diseases of intestines
K649,"Haemorrhoids, unspecified",Diseases of the digestive system,Other diseases of intestines
K766,Portal hypertension,Diseases of the digestive system,Diseases of liver
K802,Calculus of gallbladder without cholecystitis,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas"
K920,Haematemesis,Diseases of the digestive system,Other diseases of the digestive system
K923,"Lower gastrointestinal haemorrhage, unspecified",Diseases of the digestive system,Other diseases of the digestive system
L022,"Cutaneous abscess, furuncle and carbuncle of trunk",Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue
L024,"Cutaneous abscess, furuncle and carbuncle of limb",Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue
L120,Bullous pemphigoid,Diseases of the skin and subcutaneous tissue,Bullous disorders
M0599,"Seropositive rheumatoid arthritis, unspecified: site unspecified",Diseases of the musculoskeletal system and connective tissue,Arthropathies
M130,"Polyarthritis, unspecified",Diseases of the musculoskeletal system and connective tissue,Arthropathies
M349,"Systemic sclerosis, unspecified",Diseases of the musculoskeletal system and connective tissue,Systemic connective tissue disorders
M4319,Spondylolisthesis: Site unspecified,Diseases of the musculoskeletal system and connective tissue,Dorsopathies
M45,Ankylosing spondylitis,Diseases of the musculoskeletal system and connective tissue,Dorsopathies
M4806,Spinal stenosis: Lumbar region,Diseases of the musculoskeletal system and connective tissue,Dorsopathies
M4908,Tuberculosis of spine (A18.0+): Sacral and sacrococcygeal region,Diseases of the musculoskeletal system and connective tissue,Dorsopathies
M6268,Muscle strain: other,Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders
M6538,Trigger finger: other,Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders
M8696,"Osteomyelitis, unspecified: lower leg",Diseases of the musculoskeletal system and connective tissue,Osteopathies and chondropathies
N029,Recurrent and persistent haematuria: unspecified,Diseases of the genitourinary system,Glomerular diseases
N051,Unspecified nephritic syndrome: focal and segmental glomerular lesions,Diseases of the genitourinary system,Glomerular diseases
N052,Unspecified nephritic syndrome: diffuse membranous glomerulonephritis,Diseases of the genitourinary system,Glomerular diseases
N12,"Tubulo-interstitial nephritis, not specified as acute or chronic",Diseases of the genitourinary system,Renal tubulo-interstitial diseases
N218,Other lower urinary tract calculus,Diseases of the genitourinary system,Urolithiasis
N319,"Neuromuscular dysfunction of bladder, unspecified",Diseases of the genitourinary system,Other diseases of urinary system
N394,Other specified urinary incontinence,Diseases of the genitourinary system,Other diseases of urinary system
N508,Other specified disorders of male genital organs,Diseases of the genitourinary system,Diseases of male genital organs
N990,Postprocedural renal failure,Diseases of the genitourinary system,Other disorders of genitourinary tract
