id,Pdx,Sdx,number_of_patient
1354,I219,N185,2
1355,I219,N189,1
1356,I219,N390,2
1357,I219,N40,1
1358,I219,R570,1
1359,I219,R571,1
1360,I220,E119,1
1361,I220,I251,1
1362,I221,E789,1
1363,I221,F171,1
1364,I221,I251,1
1365,I221,R731,1
1366,I228,E119,1
1367,I228,E877,1
1368,I228,I10,1
1369,I228,I251,2
1370,I228,N185,1
1371,I228,R233,1
1372,I228,R55,1
1373,I229,D62,1
1374,I229,E119,2
1375,I229,E149,1
1376,I229,E278,1
1377,I229,E789,4
1378,I229,E876,1
1379,I229,I10,6
1380,I229,I251,4
1381,I229,I350,1
1382,I229,I500,1
1383,I229,K294,1
1384,I229,M4989,1
1385,I229,N319,1
1386,I229,N390,2
1387,I229,R572,1
1388,I233,A419,1
1389,I233,D62,1
1390,I233,E833,1
1391,I233,E834,1
1392,I233,E835,1
1393,I233,E871,1
1394,I233,E872,1
1395,I233,E875,1
1396,I233,E877,1
1397,I233,E880,1
1398,I233,I48,1
1399,I233,J159,1
1400,I233,R392,1
1401,I236,E149,1
1402,I236,E789,1
1403,I236,I10,1
1404,I236,I500,1
1405,I236,J159,1
1406,I236,J90,1
1407,I241,E789,1
1408,I241,I10,1
1409,I241,I251,1
1410,I241,J129,1
1411,I241,J449,1
1412,I241,J90,1
1413,I249,A419,1
1414,I249,b181,1
1415,I249,B955,1
1416,I249,B962,1
1417,I249,C539,1
1418,I249,D509,1
1419,I249,D696,1
1420,I249,E041,1
1421,I249,E059,1
1422,I249,E780,1
1423,I249,E789,1
1424,I249,E834,1
1425,I249,E876,1
1426,I249,F059,2
1427,I249,F319,1
1428,I249,F419,1
1429,I249,I10,3
1430,I249,I214,1
1431,I249,I251,2
1432,I249,I500,2
1433,I249,J189,1
1434,I249,J984,1
1435,I249,K589,1
1436,I249,K760,1
1437,I249,K769,1
1438,I249,K922,1
1439,I249,N179,1
1440,I249,N390,1
1441,I249,N820,1
1442,I249,R05,1
1443,I249,R31,1
1444,I251,A090,2
1445,I251,A099,1
1446,I251,A162,2
1447,I251,A408,1
1448,I251,A415,5
1449,I251,A419,2
1450,I251,A428,1
1451,I251,A521,1
1452,I251,A809,1
1453,I251,b181,18
1454,I251,B182,7
1455,I251,B24,5
1456,I251,B909,2
1457,I251,B961,2
1458,I251,B962,7
1459,I251,B965,2
1460,I251,C187,1
1461,I251,C189,6
1462,I251,C20,1
1463,I251,C220,1
1464,I251,C37,1
1465,I251,C509,2
1466,I251,C541,1
1467,I251,C61,3
1468,I251,C679,1
1469,I251,C718,1
1470,I251,C760,1
1471,I251,C780,1
1472,I251,C795,1
1473,I251,C812,1
1474,I251,C851,1
1475,I251,D259,1
1476,I251,D34,1
1477,I251,D350,1
1478,I251,D371,1
1479,I251,D45,1
1480,I251,D469,2
1481,I251,D473,1
1482,I251,D500,2
1483,I251,D509,15
1484,I251,D551,1
1485,I251,D563,2
1486,I251,D582,1
1487,I251,D62,16
1488,I251,D638,23
1489,I251,D648,1
1490,I251,D649,24
1491,I251,D65,4
1492,I251,D684,1
1493,I251,D689,6
1494,I251,D695,1
1495,I251,D696,12
1496,I251,D721,2
1497,I251,D735,1
1498,I251,D763,1
1499,I251,E02,2
1500,I251,E039,17
1501,I251,E041,2
1502,I251,E042,3
1503,I251,E049,1
1504,I251,E050,3
1505,I251,E059,10
1506,I251,E069,1
1507,I251,E079,1
1508,I251,E109,1
1509,I251,E112,9
1510,I251,E113,14
1511,I251,E114,2
1512,I251,E115,3
1513,I251,E117,6
1514,I251,E119,485
1515,I251,E142,1
1516,I251,E149,216
1517,I251,E162,1
1518,I251,E211,2
1519,I251,E212,2
1520,I251,E213,2
1521,I251,E222,1
1522,I251,E260,1
1523,I251,E271,1
1524,I251,E274,5
1525,I251,E278,1
1526,I251,E43,1
1527,I251,E46,1
1528,I251,E559,3
1529,I251,E662,2
1530,I251,E668,6
1531,I251,E669,5
1532,I251,E724,1
1533,I251,E778,1
1534,I251,E780,1
1535,I251,E781,1
1536,I251,E782,1
1537,I251,E785,65
1538,I251,E789,839
1539,I251,E790,1
1540,I251,E833,7
1541,I251,E834,62
1542,I251,E835,16
1543,I251,E870,3
1544,I251,E871,17
1545,I251,E872,8
1546,I251,E875,22
1547,I251,E876,78
1548,I251,E877,5
1549,I251,E880,2
1550,I251,F03,8
1551,I251,F058,1
1552,I251,F059,8
1553,I251,F102,3
1554,I251,F151,1
1555,I251,F171,1
1556,I251,F319,1
1557,I251,F322,2
1558,I251,F329,4
1559,I251,F331,1
1560,I251,F419,2
1561,I251,F432,1
1562,I251,F522,1
1563,I251,G20,11
1564,I251,G253,1
1565,I251,G301,1
1566,I251,G309,1
1567,I251,G318,1
1568,I251,G403,1
1569,I251,G459,7
1570,I251,G460,1
1571,I251,G470,6
1572,I251,G473,19
1573,I251,G629,1
1574,I251,G632,2
1575,I251,G700,2
1576,I251,G819,13
1577,I251,G908,1
1578,I251,G931,2
1579,I251,G934,1
1580,I251,G992,1
1581,I251,H259,2
1582,I251,H332,1
1583,I251,H358,1
1584,I251,H360,9
1585,I251,H3600,1
1586,I251,H3602,5
1587,I251,H3609,3
1588,I251,H409,4
1589,I251,H811,1
1590,I251,H813,1
1591,I251,H903,1
1592,I251,I051,1
1593,I251,I052,1
1594,I251,I071,5
1595,I251,I10,1122
1596,I251,I110,1
1597,I251,I119,1
1598,I251,I130,1
1599,I251,I131,2
1600,I251,I159,1
1601,I251,I200,8
1602,I251,I208,1
1603,I251,I214,9
1604,I251,I219,1
1605,I251,I252,1
1606,I251,I254,17
1607,I251,I255,20
1608,I251,I259,1
1609,I251,I260,2
1610,I251,I269,4
1611,I251,I270,7
1612,I251,I272,6
1613,I251,I311,1
1614,I251,I313,10
1615,I251,I319,6
1616,I251,I330,1
1617,I251,I340,28
1618,I251,I341,3
1619,I251,I350,51
1620,I251,I351,5
1621,I251,I352,1
1622,I251,I358,1
1623,I251,I420,14
1624,I251,I421,1
1625,I251,I422,1
1626,I251,I425,1
1627,I251,I429,6
1628,I251,I441,1
1629,I251,I442,8
1630,I251,I447,3
1631,I251,I459,1
1632,I251,I460,7
1633,I251,I469,11
1634,I251,I471,5
1635,I251,I472,8
1636,I251,I48,109
1637,I251,I490,1
1638,I251,I493,4
1639,I251,I495,3
1640,I251,I499,2
1641,I251,I500,135
1642,I251,I501,9
1643,I251,I509,13
1644,I251,I513,2
1645,I251,I517,2
1646,I251,I609,1
1647,I251,I619,1
1648,I251,I629,1
1649,I251,I631,1
1650,I251,I632,1
1651,I251,I633,3
1652,I251,I634,2
1653,I251,I635,10
1654,I251,I639,4
1655,I251,I64,7
1656,I251,I652,10
1657,I251,I676,1
1658,I251,I690,1
1659,I251,I691,1
1660,I251,I693,11
1661,I251,I694,71
1662,I251,I7000,1
1663,I251,I7010,1
1664,I251,I7021,1
1665,I251,I710,10
1666,I251,I712,5
1667,I251,I714,4
1668,I251,I719,3
1669,I251,I723,2
1670,I251,I728,1
1671,I251,I730,1
1672,I251,I739,13
1673,I251,I742,1
1674,I251,I743,6
1675,I251,I744,2
1676,I251,I771,4
1677,I251,I802,5
1678,I251,I81,1
1679,I251,I839,1
1680,I251,I842,1
1681,I251,I872,2
1682,I251,I952,6
1683,I251,I959,8
1684,I251,I970,2
1685,I251,I972,1
1686,I251,J050,2
1687,I251,J129,3
1688,I251,J150,3
1689,I251,J151,2
1690,I251,J156,2
1691,I251,J159,1
1692,I251,J181,3
1693,I251,J189,18
1694,I251,J209,6
1695,I251,J304,3
1696,I251,J40,5
1697,I251,J439,2
1698,I251,J441,2
1699,I251,J449,30
1700,I251,J459,18
1701,I251,J61,1
1702,I251,J690,2
1703,I251,J80,1
1704,I251,J81,3
1705,I251,J840,1
1706,I251,J848,1
1707,I251,J849,3
1708,I251,J90,11
1709,I251,J939,1
1710,I251,J950,2
1711,I251,J951,4
1712,I251,J960,24
1713,I251,J981,9
1714,I251,J984,1
1715,I251,K053,1
1716,I251,K219,14
1717,I251,K250,2
1718,I251,K254,1
1719,I251,K259,2
1720,I251,K269,1
1721,I251,K291,1
1722,I251,K294,1
1723,I251,K295,1
1724,I251,K297,3
1725,I251,K299,1
1726,I251,K30,6
1727,I251,K318,1
1728,I251,K564,1
1729,I251,K566,1
1730,I251,K589,1
1731,I251,K590,11
1732,I251,K625,1
1733,I251,K635,2
1734,I251,K648,1
1735,I251,K649,2
1736,I251,K650,2
1737,I251,K661,1
1738,I251,K703,1
1739,I251,K720,1
1740,I251,K746,3
1741,I251,K754,2
1742,I251,K758,8
1743,I251,K760,5
1744,I251,K761,1
1745,I251,K763,3
1746,I251,K802,3
1747,I251,K811,2
1748,I251,K819,1
1749,I251,K922,11
1750,I251,L031,3
1751,I251,L298,1
1752,I251,L409,1
1753,I251,L508,1
1754,I251,L509,1
1755,I251,L850,1
1756,I251,L891,1
1757,I251,L892,1
1758,I251,L929,1
1759,I251,L97,1
1760,I251,M0299,1
1761,I251,M0699,10
1762,I251,M1006,3
1763,I251,M1009,1
1764,I251,M1096,1
1765,I251,M1099,76
1766,I251,M1129,1
1767,I251,M1393,1
1768,I251,M1399,2
1769,I251,M146,1
1770,I251,M170,2
1771,I251,M171,2
1772,I251,M179,10
1773,I251,M222,1
1774,I251,M2557,1
1775,I251,M329,3
1776,I251,M332,1
1777,I251,M348,1
1778,I251,M349,1
1779,I251,M4319,2
1780,I251,M4712,1
1781,I251,M4782,1
1782,I251,M4786,1
1783,I251,M4809,4
1784,I251,M4899,1
1785,I251,M512,2
1786,I251,M6226,1
1787,I251,M6288,1
1788,I251,M7266,1
1789,I251,M750,1
1790,I251,M751,1
1791,I251,M752,1
1792,I251,M8196,1
1793,I251,M8199,4
1794,I251,M8617,1
1795,I251,N049,1
1796,I251,N059,1
1797,I251,N083,14
1798,I251,N10,8
1799,I251,N132,1
1800,I251,N141,1
1801,I251,N142,1
1802,I251,N170,6
1803,I251,N179,82
1804,I251,N182,3
1805,I251,N183,60
1806,I251,N184,31
1807,I251,N185,147
1808,I251,N189,99
1809,I251,N201,1
1810,I251,N202,1
1811,I251,N281,1
1812,I251,N300,1
1813,I251,N309,1
1814,I251,N319,2
1815,I251,N390,27
1816,I251,N40,77
1817,I251,N701,1
1818,I251,N870,1
1819,I251,N920,1
1820,I251,Q210,1
1821,I251,Q211,3
1822,I251,Q231,1
1823,I251,Q251,1
1824,I251,Q612,1
1825,I251,Q800,1
1826,I251,R000,1
1827,I251,R001,14
1828,I251,R002,1
1829,I251,R02,3
1830,I251,R040,1
1831,I251,R05,1
1832,I251,R074,2
1833,I251,R090,1
1834,I251,R101,2
1835,I251,R11,1
1836,I251,R18,2
1837,I251,R21,1
1838,I251,R221,1
1839,I251,R258,1
1840,I251,R31,11
1841,I251,R33,3
1842,I251,R35,4
1843,I251,R392,4
1844,I251,R410,1
1845,I251,R502,1
1846,I251,R509,7
1847,I251,R55,2
1848,I251,R568,3
1849,I251,R570,15
1850,I251,R571,12
1851,I251,R572,9
1852,I251,R578,2
1853,I251,R730,6
1854,I251,R731,36
1855,I251,R739,2
1856,I251,R740,1
1857,I251,R80,1
1858,I251,R828,3
1859,I251,R829,1
1860,I251,R91,2
1861,I251,R945,2
1862,I251,T793,1
1863,I251,T801,1
1864,I251,T802,1
1865,I251,T810,53
1866,I251,T812,3
1867,I251,T814,3
1868,I251,T818,3
1869,I251,T825,1
1870,I251,T828,4
1871,I252,E785,1
1872,I252,I10,1
1873,I254,E789,1
1874,I254,I280,1
1875,I254,I471,1
1876,I254,M303,1
1877,I255,E041,1
1878,I255,E119,3
1879,I255,E668,1
1880,I255,E789,4
1881,I255,E833,1
1882,I255,E834,1
1883,I255,E872,1
1884,I255,E876,3
1885,I255,F059,1
1886,I255,G473,1
1887,I255,I10,4
1888,I255,I251,4
1889,I255,I260,1
1890,I255,I272,1
1891,I255,I469,1
1892,I255,I472,1
1893,I255,I48,1
1894,I255,I490,1
1895,I255,I493,1
1896,I255,I495,1
1897,I255,I500,2
1898,I255,I509,1
1899,I255,J449,1
1900,I255,L024,1
1901,I255,N179,2
1902,I255,N183,1
1903,I255,N189,1
1904,I255,N40,1
1905,I255,R31,1
1906,I255,R731,1
1907,I260,A047,1
1908,I260,A410,1
1909,I260,A415,1
1910,I260,A419,2
1911,I260,b181,1
1912,I260,B182,1
1913,I260,B24,1
1914,I260,B961,1
1915,I260,B962,3
1916,I260,B964,1
1917,I260,C182,1
1918,I260,C187,1
1919,I260,C19,1
1920,I260,C220,1
1921,I260,C349,3
1922,I260,C509,2
1923,I260,C539,1
1924,I260,C56,2
1925,I260,C780,3
1926,I260,C786,1
1927,I260,C787,5
1928,I260,C788,1
1929,I260,C795,1
1930,I260,C797,1
1931,I260,C800,1
1932,I260,D136,1
1933,I260,D259,1
1934,I260,D261,1
1935,I260,D329,1
1936,I260,D376,1
1937,I260,D509,3
1938,I260,D563,1
1939,I260,D569,1
1940,I260,D62,4
1941,I260,D630,1
1942,I260,D638,1
1943,I260,D65,1
1944,I260,D683,2
1945,I260,D685,1
1946,I260,D696,2
1947,I260,D70,1
1948,I260,D898,1
1949,I260,E119,8
1950,I260,E149,1
1951,I260,E274,2
1952,I260,E668,1
1953,I260,E789,15
1954,I260,E834,1
1955,I260,E870,1
1956,I260,E871,1
1957,I260,E875,4
1958,I260,E876,3
1959,I260,F050,1
1960,I260,F323,1
1961,I260,G253,1
1962,I260,G319,1
1963,I260,G500,1
1964,I260,G629,1
1965,I260,G903,1
1966,I260,I10,24
1967,I260,I214,2
1968,I260,I251,2
1969,I260,I270,2
1970,I260,I272,2
1971,I260,I461,1
1972,I260,I469,1
1973,I260,I48,4
1974,I260,I500,1
1975,I260,I619,1
1976,I260,I629,1
1977,I260,I634,1
1978,I260,I635,1
1979,I260,I64,1
1980,I260,I694,2
1981,I260,I712,1
1982,I260,I742,1
1983,I260,I802,10
1984,I260,I822,1
1985,I260,J181,4
1986,I260,J189,3
1987,I260,J380,1
1988,I260,J90,6
1989,I260,J939,1
1990,I260,J960,8
1991,I260,J984,2
1992,I260,K30,1
1993,I260,K711,1
1994,I260,K920,1
1995,I260,K922,1
1996,I260,K923,1
1997,I260,M1098,1
1998,I260,M1099,1
1999,I260,M349,1
2000,I260,M4316,1
2001,I260,M4806,1
2002,I260,M5499,1
2003,I260,M8199,1
2004,I260,N049,1
2005,I260,N10,2
2006,I260,N12,1
2007,I260,N179,9
2008,I260,N184,1
2009,I260,N185,2
2010,I260,N189,1
2011,I260,N300,1
2012,I260,N390,2
2013,I260,N40,1
2014,I260,N63,1
2015,I260,N924,1
2016,I260,N938,1
2017,I260,Q600,1
2018,I260,R000,1
2019,I260,R001,1
2020,I260,R18,1
2021,I260,R190,1
2022,I260,R194,1
2023,I260,R31,1
2024,I260,R33,1
2025,I260,R509,1
2026,I260,R571,1
2027,I260,R572,1
2028,I260,R731,2
2029,I260,R91,1
2030,I260,T810,1
2031,I269,A047,1
2032,I269,A162,1
2033,I269,A419,1
2034,I269,B182,1
2035,I269,C169,1
2036,I269,C220,1
2037,I269,C221,1
2038,I269,C252,1
2039,I269,C259,1
2040,I269,C56,1
2041,I269,C780,1
2042,I269,C782,1
2043,I269,C787,2
2044,I269,C798,1
2045,I269,D121,1
2046,I269,D62,1
2047,I269,D638,1
2048,I269,D683,1
2049,I269,D696,1
2050,I269,D721,1
2051,I269,E041,1
2052,I269,E119,3
2053,I269,E46,1
2054,I269,E669,1
2055,I269,E789,9
2056,I269,E833,1
2057,I269,E834,1
2058,I269,E870,2
2059,I269,E871,3
2060,I269,E872,2
2061,I269,E875,2
2062,I269,E876,2
2063,I269,F453,1
2064,I269,G473,1
2065,I269,G819,1
2066,I269,G92,1
2067,I269,G931,1
2068,I269,I10,8
2069,I269,I270,1
2070,I269,I469,1
2071,I269,I48,1
2072,I269,I500,2
2073,I269,I694,2
2074,I269,I802,3
2075,I269,J150,1
2076,I269,J329,1
2077,I269,J90,2
2078,I269,J960,3
2079,I269,J981,1
2080,I269,K260,1
2081,I269,K650,1
2082,I269,K922,1
2083,I269,M1099,1
2084,I269,M1186,1
2085,I269,M329,1
2086,I269,N141,1
2087,I269,N170,1
2088,I269,N179,3
2089,I269,N189,1
2090,I269,R042,1
2091,I269,R18,1
2092,I269,R31,1
2093,I269,R392,1
2094,I269,R568,1
2095,I269,R572,1
2096,I269,R578,1
2097,I269,R633,1
2098,I269,R731,1
2099,I269,R739,1
2100,I269,R91,1
2101,I269,T810,1
2102,I270,A150,1
2103,I270,b181,1
2104,I270,B24,2
2105,I270,D371,1
2106,I270,D560,1
2107,I270,D561,1
2108,I270,D582,1
2109,I270,D638,1
2110,I270,D649,3
2111,I270,D696,2
2112,I270,E117,1
2113,I270,E119,3
2114,I270,E149,5
2115,I270,E669,1
2116,I270,E789,9
2117,I270,F453,1
2118,I270,G473,3
2119,I270,G819,1
2120,I270,G931,1
2121,I270,H3609,1
2122,I270,I050,1
2123,I270,I10,11
2124,I270,I251,2
2125,I270,I260,1
2126,I270,I340,2
2127,I270,I38,1
2128,I270,I472,1
2129,I270,I48,9
2130,I270,I500,1
2131,I270,I619,1
2132,I270,I694,3
2133,I270,I872,1
2134,I270,J449,1
2135,I270,J849,2
2136,I270,J90,1
2137,I270,J960,1
2138,I270,J984,1
2139,I270,K30,1
2140,I270,K589,2
2141,I270,K635,2
2142,I270,K729,1
2143,I270,K746,1
2144,I270,L281,1
2145,I270,L304,1
2146,I270,L940,1
2147,I270,M1096,1
2148,I270,M179,1
2149,I270,M321,2
2150,I270,M329,6
2151,I270,M349,3
2152,I270,N083,1
2153,I270,N085,2
2154,I270,N179,1
2155,I270,N185,4
2156,I270,N189,2
2157,I270,Q210,1
2158,I270,R731,2
2159,I272,A099,1
2160,I272,A419,1
2161,I272,b181,1
2162,I272,C349,1
2163,I272,D638,2
2164,I272,D649,2
2165,I272,D65,4
2166,I272,D686,1
2167,I272,D689,1
2168,I272,E059,1
2169,I272,E119,7
2170,I272,E149,1
2171,I272,E274,1
2172,I272,E46,1
2173,I272,E669,1
2174,I272,E789,8
2175,I272,E834,1
2176,I272,E835,2
2177,I272,E872,1
2178,I272,E876,3
2179,I272,F799,1
2180,I272,G473,2
2181,I272,I10,11
2182,I272,I219,1
2183,I272,I251,3
2184,I272,I269,2
2185,I272,I420,1
2186,I272,I440,1
2187,I272,I460,1
2188,I272,I469,1
2189,I272,I48,2
2190,I272,I500,4
2191,I272,I635,1
2192,I272,I694,1
2193,I272,I739,1
2194,I272,I802,4
2195,I272,I870,1
2196,I272,J129,1
2197,I272,J181,1
2198,I272,J189,4
2199,I272,J80,2
2200,I272,J848,1
2201,I272,J849,1
2202,I272,J90,1
2203,I272,J960,2
2204,I272,K529,1
2205,I272,K703,1
2206,I272,K720,2
2207,I272,M1099,2
2208,I272,M321,1
2209,I272,M329,1
2210,I272,M349,3
2211,I272,M4309,1
2212,I272,M8617,1
2213,I272,N085,1
2214,I272,N179,4
2215,I272,N183,1
2216,I272,N185,3
2217,I272,N258,1
2218,I272,N390,2
2219,I272,N800,1
2220,I272,O994,1
2221,I272,P271,1
2222,I272,Q210,2
2223,I272,Q211,2
2224,I272,Q250,3
2225,I272,Q255,1
2226,I272,Q909,2
2227,I272,Q991,1
2228,I272,R571,1
2229,I272,R572,2
2230,I272,R578,1
2231,I272,R58,1
2232,I279,D638,1
2233,I279,E119,1
2234,I279,I10,1
2235,I279,J841,1
2236,I279,K805,1
2237,I279,N185,1
2238,I301,B962,1
2239,I301,C830,1
2240,I301,E883,1
2241,I301,F059,1
2242,I301,I313,1
2243,I301,I48,1
2244,I301,J155,1
2245,I301,N179,1
2246,I311,A162,2
2247,I311,D62,1
2248,I311,E789,1
2249,I311,E871,1
2250,I311,I10,1
2251,I311,I500,1
2252,I311,J90,1
2253,I313,A150,1
2254,I313,A162,2
2255,I313,A188,1
2256,I313,A419,1
2257,I313,b181,1
2258,I313,B909,1
2259,I313,C187,1
2260,I313,C220,1
2261,I313,C349,2
2262,I313,C509,1
2263,I313,C771,1
2264,I313,C780,2
2265,I313,C787,1
2266,I313,C809,1
2267,I313,D509,1
2268,I313,D62,1
2269,I313,D638,2
2270,I313,D649,2
2271,I313,D65,1
2272,I313,D683,1
2273,I313,D689,1
2274,I313,D696,1
2275,I313,E059,2
2276,I313,E119,1
2277,I313,E149,1
2278,I313,E46,1
2279,I313,E789,3
2280,I313,E833,1
2281,I313,E834,1
2282,I313,E871,1
2283,I313,E872,2
2284,I313,E876,1
2285,I313,E880,1
2286,I313,G819,1
2287,I313,G931,1
2288,I313,I050,1
2289,I313,I10,7
2290,I313,I210,1
2291,I313,I251,1
2292,I313,I320,1
2293,I313,I328,1
2294,I313,I351,1
2295,I313,I460,1
2296,I313,I472,1
2297,I313,I48,4
2298,I313,I500,1
2299,I313,I694,1
2300,I313,I871,1
2301,I313,I970,1
2302,I313,J156,1
2303,I313,J181,1
2304,I313,J189,1
2305,I313,J440,1
2306,I313,J90,9
2307,I313,J939,1
2308,I313,J960,1
2309,I313,K219,1
2310,I313,K250,1
2311,I313,K633,1
2312,I313,K635,1
2313,I313,K703,1
2314,I313,K805,1
2315,I313,K922,1
2316,I313,L893,1
2317,I313,M321,1
2318,I313,M8199,1
2319,I313,N085,1
2320,I313,N179,3
2321,I313,N185,4
2322,I313,N390,1
2323,I313,Q211,1
2324,I313,R509,1
2325,I313,R570,2
2326,I313,R91,1
2327,I313,T810,1
2328,I313,T827,1
2329,I313,T828,1
2330,I319,C73,1
2331,I319,C800,1
2332,I319,D509,1
2333,I319,D683,1
2334,I319,E876,1
2335,I319,I10,2
2336,I319,I251,1
2337,I319,I350,1
2338,I319,I48,1
2339,I319,I500,1
2340,I319,J90,3
2341,I319,J960,1
2342,I319,K758,1
2343,I319,M351,1
2344,I330,A401,2
2345,I330,A409,1
2346,I330,A410,2
2347,I330,A418,1
2348,I330,A419,2
2349,I330,A498,1
2350,I330,B182,1
2351,I330,B954,1
2352,I330,D509,1
2353,I330,D618,1
2354,I330,D619,1
2355,I330,D62,1
2356,I330,D638,1
2357,I330,D649,2
2358,I330,D65,1
2359,I330,D689,1
2360,I330,D696,2
2361,I330,D733,1
2362,I330,E111,1
2363,I330,E119,7
2364,I330,E46,1
2365,I330,E559,1
2366,I330,E789,3
2367,I330,E806,1
2368,I330,E834,2
2369,I330,E870,1
2370,I330,E871,2
2371,I330,E872,1
2372,I330,E875,3
2373,I330,E876,1
2374,I330,F106,1
2375,I330,F329,1
2376,I330,F432,1
2377,I330,G060,1
2378,I330,G253,1
2379,I330,G629,1
2380,I330,G911,1
2381,I330,H440,2
2382,I330,I071,2
2383,I330,I10,7
2384,I330,I251,4
2385,I330,I260,1
2386,I330,I320,1
2387,I330,I340,9
2388,I330,I350,2
2389,I330,I351,7
2390,I330,I400,1
2391,I330,I420,1
2392,I330,I442,1
2393,I330,I460,2
2394,I330,I469,1
2395,I330,I472,2
2396,I330,I48,3
2397,I330,I500,3
2398,I330,I509,1
2399,I330,I619,1
2400,I330,I633,1
2401,I330,I634,1
2402,I330,I64,1
2403,I330,I694,2
2404,I330,I712,1
2405,I330,I739,1
2406,I330,J156,2
2407,I330,J180,1
2408,I330,J189,2
2409,I330,J690,2
2410,I330,J90,1
2411,I330,J958,1
2412,I330,J960,5
2413,I330,K029,2
2414,I330,K254,1
2415,I330,K648,1
2416,I330,K703,1
2417,I330,K710,1
2418,I330,K763,1
2419,I330,K810,1
2420,I330,K920,1
2421,I330,K922,3
2422,I330,L893,1
2423,I330,M0098,1
2424,I330,M1099,2
2425,I330,M1399,1
2426,I330,M4646,1
2427,I330,M4647,1
2428,I330,M750,1
2429,I330,N059,1
2430,I330,N170,2
2431,I330,N179,7
2432,I330,N185,4
2433,I330,N390,1
2434,I330,N40,1
2435,I330,Q211,1
2436,I330,R001,1
2437,I330,R570,2
2438,I330,R572,4
2439,I330,R739,1
2440,I330,T810,2
2441,I340,A418,1
2442,I340,A419,1
2443,I340,b181,1
2444,I340,B24,2
2445,I340,B908,1
2446,I340,B961,1
2447,I340,B962,2
2448,I340,C187,1
2449,I340,C56,1
2450,I340,D45,1
2451,I340,D560,1
2452,I340,D569,1
2453,I340,D582,1
2454,I340,D589,1
2455,I340,D599,1
2456,I340,D62,1
2457,I340,D689,2
2458,I340,E041,2
2459,I340,E059,4
2460,I340,E119,15
2461,I340,E149,3
2462,I340,E669,1
2463,I340,E785,7
2464,I340,E789,28
2465,I340,E834,2
2466,I340,E835,1
2467,I340,E871,3
2468,I340,E875,4
2469,I340,E876,3
2470,I340,E877,1
2471,I340,F059,1
2472,I340,F419,1
2473,I340,F913,1
2474,I340,G20,1
2475,I340,G309,1
2476,I340,G931,1
2477,I340,I071,12
2478,I340,I10,48
2479,I340,I236,1
2480,I340,I251,12
2481,I340,I270,5
2482,I340,I272,6
2483,I340,I313,1
2484,I340,I330,3
2485,I340,I341,3
2486,I340,I350,1
2487,I340,I351,8
2488,I340,I352,1
2489,I340,I361,1
2490,I340,I472,1
2491,I340,I48,36
2492,I340,I500,18
2493,I340,I509,2
2494,I340,I517,1
2495,I340,I518,1
2496,I340,I621,1
2497,I340,I635,1
2498,I340,I64,1
2499,I340,I693,1
2500,I340,I722,1
2501,I340,J129,1
2502,I340,J159,1
2503,I340,J304,2
2504,I340,J449,1
2505,I340,J459,3
2506,I340,J90,2
2507,I340,J942,2
2508,I340,J960,4
2509,I340,K317,1
2510,I340,K720,1
2511,I340,K759,1
2512,I340,K923,1
2513,I340,L892,1
2514,I340,M0696,1
2515,I340,M1009,1
2516,I340,M1099,2
2517,I340,M329,1
2518,I340,M4316,1
2519,I340,M8199,1
2520,I340,N10,1
2521,I340,N132,2
2522,I340,N170,2
2523,I340,N179,3
2524,I340,N182,1
2525,I340,N184,4
2526,I340,N189,5
2527,I340,N328,1
2528,I340,N390,1
2529,I340,Q211,1
2530,I340,R570,6
2531,I340,R572,1
2532,I340,R730,1
2533,I340,R731,1
2534,I340,T810,1
2535,I340,T820,1
2536,I340,T828,1
2537,I341,A418,1
2538,I341,B377,1
2539,I341,B449,1
2540,I341,E050,1
2541,I341,E119,1
2542,I341,E876,1
2543,I341,F323,1
2544,I341,H609,1
2545,I341,I071,1
2546,I341,I10,2
2547,I341,I272,1
2548,I341,I351,1
2549,I341,I442,1
2550,I341,I675,1
2551,I341,J860,1
2552,I350,A415,1
2553,I350,A419,1
2554,I350,b181,1
2555,I350,B209,1
2556,I350,B909,1
2557,I350,C20,1
2558,I350,C509,2
2559,I350,C679,2
2560,I350,C795,1
2561,I350,D150,1
2562,I350,D509,1
2563,I350,D560,1
2564,I350,D591,1
2565,I350,D599,1
2566,I350,D62,1
2567,I350,D638,4
2568,I350,D649,1
2569,I350,D683,2
2570,I350,D689,1
2571,I350,D696,4
2572,I350,E02,2
2573,I350,E041,2
2574,I350,E059,1
2575,I350,E119,15
2576,I350,E149,5
2577,I350,E668,1
2578,I350,E669,1
2579,I350,E785,3
2580,I350,E789,39
2581,I350,E833,1
2582,I350,E834,5
2583,I350,E871,2
2584,I350,E872,1
2585,I350,E876,4
2586,I350,F03,2
2587,I350,F411,2
2588,I350,G309,1
2589,I350,G402,1
2590,I350,G473,1
2591,I350,G802,1
2592,I350,G819,2
2593,I350,G911,1
2594,I350,I050,3
2595,I350,I052,2
2596,I350,I071,1
2597,I350,I10,52
2598,I350,I213,1
2599,I350,I214,4
2600,I350,I219,1
2601,I350,I251,18
2602,I350,I270,2
2603,I350,I330,1
2604,I350,I340,2
2605,I350,I361,1
2606,I350,I422,1
2607,I350,I442,2
2608,I350,I460,3
2609,I350,I472,1
2610,I350,I48,22
2611,I350,I490,1
2612,I350,I493,1
2613,I350,I500,9
2614,I350,I635,2
2615,I350,I64,1
2616,I350,I693,1
2617,I350,I694,2
